worker,elapsed
3,12.280816
4,11.777457
5,12.041245
6,13.704952
7,12.995589
8,12.537403
2,12.090449
9,12.439029
3,12.640876
4,12.501691
5,12.522476
6,12.933222
7,12.876677
8,12.925923
2,12.928789
9,12.556409
3,13.502738
4,13.464298
5,13.499649
6,14.096769
7,13.474974
8,14.302440
2,13.939008
9,14.422296
4,14.495256
3,15.409432
5,14.782514
7,14.568343
6,15.552143
8,14.642222
2,14.029686
9,14.608654
4,14.689520
3,15.616131
5,14.999382
7,14.563008
6,14.923491
8,14.343878
2,14.500331
9,14.296248
4,14.860717
5,14.930548
3,15.509447
7,14.525439
6,14.978218
8,14.245121
2,14.521214
9,14.677611
4,15.031725
5,14.926667
3,14.953192
7,15.431532
8,14.096589
6,15.738346
2,15.186267
9,15.784474
4,15.525993
3,15.453940
5,16.121522
7,16.006926
8,15.597079
6,16.378652
2,16.758894
9,15.133329
4,15.784741
3,15.549371
5,16.028450
8,14.534469
7,15.944371
6,15.828089
2,16.047752
9,15.333012
4,16.713608
3,16.878906
5,16.026414
8,16.535107
7,16.314136
6,16.299861
2,15.859145
9,15.387271
4,15.020222
5,14.648701
3,14.928287
8,15.120307
7,15.227380
6,15.134562
9,15.088753
2,15.669883
4,15.668445
5,16.004951
3,16.000638
8,15.691295
7,16.121005
6,16.595478
9,16.480948
2,16.574836
4,15.620926
3,15.785061
5,16.162950
8,15.780117
7,15.762435
6,16.277862
9,16.807241
2,17.031464
4,17.394248
3,17.592210
5,17.964368
8,16.937520
7,17.564836
6,17.257269
9,16.102388
2,16.655845
4,15.240448
3,15.358332
5,15.033857
8,14.523980
7,15.072693
9,14.631353
6,15.198327
2,15.074778
4,14.730449
5,14.595511
3,15.116169
8,14.263274
7,14.778416
9,14.353133
6,14.723511
2,14.704112
4,14.169260
5,14.592848
3,14.988472
8,14.779266
7,14.327133
9,15.031248
6,14.990272
2,15.226263
4,15.014577
5,15.691649
8,16.082675
3,16.790097
7,17.213611
9,16.511533
6,17.052453
2,17.495813
4,16.917065
5,17.150050
8,15.772963
3,16.758582
7,14.963508
9,14.991676
6,15.211529
2,15.515577
4,15.304745
8,14.748629
5,15.661240
3,15.536227
7,14.162339
9,14.559587
6,15.160351
2,14.986153
4,15.007294
8,14.943061
5,15.079013
7,14.386703
3,15.236178
9,15.246853
6,16.320627
2,16.521748
4,16.710603
8,15.951906
5,16.076236
7,15.921251
3,16.378793
9,16.037979
6,15.445942
2,15.746381
